  time        pos_x        pos_y        vel_x        vel_y    BCI_pos_x    BCI_pos_y    BCI_vel_x    BCI_vel_y
10.784   232.309955   236.746024    88.109483   127.758750     0.000000     0.000000     0.000000     0.000000
10.842   236.045592   241.182094    64.411913    76.489147     0.000000     0.000000     0.000000     0.000000
10.893   236.045592   241.415571     0.000000     4.577488     0.000000     0.000000     0.000000     0.000000
10.952   235.111683   242.582958   -15.828465    19.785581     0.000000     0.000000     0.000000     0.000000
11.009   226.473021   247.485982  -151.554685    86.017524     0.000000     0.000000     0.000000     0.000000
11.061   222.737384   250.521188   -71.851246    58.379138     0.000000     0.000000     0.000000     0.000000
11.119   219.468701   253.089438   -56.350651    44.275512     0.000000     0.000000     0.000000     0.000000
11.175   216.433496   253.322916   -54.205454     4.169650     0.000000     0.000000     0.000000     0.000000
11.236   208.495266   253.556393  -130.127464     3.827278     0.000000     0.000000     0.000000     0.000000
11.291   205.226583   254.256825   -59.432005    12.735430     0.000000     0.000000     0.000000     0.000000
11.349   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.410   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.469   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.519   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.583   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.641   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.698   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.748   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.798   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.849   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.899   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
11.960   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.018   205.226583   254.256825     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.070   202.891810   254.023348   -44.898343    -4.489834     0.000000     0.000000     0.000000     0.000000
12.125   191.217943   243.750345  -212.257162  -186.786302     0.000000     0.000000     0.000000     0.000000
12.185   185.381009   233.010387   -97.286015  -179.006268     0.000000     0.000000     0.000000     0.000000
12.238   185.147532   233.010387    -4.405474     0.000000     0.000000     0.000000     0.000000     0.000000
12.292   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.350   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.402   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.453   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.504   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.561   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.612   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.661   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.721   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.782   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.840   185.147532   233.010387     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
12.903   185.614487   233.010387     7.412564     0.000000     0.000000     0.000000     0.000000     0.000000
12.960   188.416215   233.243864    49.152871     4.096073     0.000000     0.000000     0.000000     0.000000
13.013   189.116647   233.243864    13.216422     0.000000     0.000000     0.000000     0.000000     0.000000
13.070   189.116647   233.243864     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
13.127   189.116647   233.243864     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
13.177   189.350124   233.477342     4.669572     4.669572     0.000000     0.000000     0.000000     0.000000
13.237   194.019671   234.644728    77.828812    19.457203     0.000000     0.000000     0.000000     0.000000
13.291   214.565677   240.948617   387.608160   118.925231     0.000000     0.000000     0.000000     0.000000
13.349   219.001746   242.582958    75.185206    27.699813     0.000000     0.000000     0.000000     0.000000
13.412   241.415571   249.120324   355.803057   103.775892     0.000000     0.000000     0.000000     0.000000
13.470   253.322916   250.521188   205.312973    24.154467     0.000000     0.000000     0.000000     0.000000
13.534   268.498943   252.855961   237.122239    36.480345     0.000000     0.000000     0.000000     0.000000
13.592   291.146245   252.855961   390.429511     0.000000     0.000000     0.000000     0.000000     0.000000
13.650   303.520544   254.490302   213.364462    28.180212     0.000000     0.000000     0.000000     0.000000
13.710   317.996139   255.190734   241.269318    11.674322     0.000000     0.000000     0.000000     0.000000
13.771   320.564390   255.190734    42.100062     0.000000     0.000000     0.000000     0.000000     0.000000
13.832   325.233937   254.256825    76.545567   -15.309113     0.000000     0.000000     0.000000     0.000000
13.888   326.634801   254.023348    25.017902    -4.169650     0.000000     0.000000     0.000000     0.000000
13.946   327.335233   253.556393    12.075140    -8.050093     0.000000     0.000000     0.000000     0.000000
14.007   329.903484   253.556393    42.107005     0.000000     0.000000     0.000000     0.000000     0.000000
14.064   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.130   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.180   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.240   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.291   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.353   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.412   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.463   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.513   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.563   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.614   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.664   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.724   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.782   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.840   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.899   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
14.957   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.008   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.065   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.122   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.174   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
15.233   329.903484   253.556393     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
